id,Country,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05
0,Washington,1279.07418343298,1288.28896309207,1297.5042066317,1306.8464764441,1316.29041576524,1326.07839310987,1336.12627226395,1346.049841188,1356.11049175347,1366.57559327473,1377.39549398991,1388.5268608769,1399.81146640315,1411.40136671685,1423.04789704522,1434.88768951826,1446.98106112141,1459.27812513989,1471.77100347729,1484.12066372615,1496.27957503488,1508.87432797964,1521.67566958602,1534.68889760508,1547.89866697005,1561.29234844141,1574.85973914364,1588.60231517625,1602.50971169065,1616.59025220205,1630.84218539322,1645.25888258312,1659.83711917494,1674.57403861082,1689.49317506822,1704.62361038515,1719.94751768043,1735.46366770446,1751.17031826375,1767.06679317873,1783.15335110776,1799.43106723825,1815.90097885743,1832.56500866368,1849.42457504346,1866.48133969483,1883.73760759915,1901.1961099575,1918.86000780669,1936.73086333307,1954.80808450866,1973.09242177321,1991.58477550051,2010.28624735314,2029.19807237506,2048.32155617766,2067.6580165816,2087.20878761439,2106.97515200716,2126.95837630523,2147.15969062741,2167.58023579986,2188.22102338787,2209.08289245373,2230.1666205915,2251.47308641317,2273.00317299114,2294.7577565168,2316.73769013163,2338.94379181638,2361.37683624537,2384.03755055736,2406.92660948926,2430.04463534724,2453.39219527967,2476.96979991618,2500.77790599393,2524.81692226965,2549.08721921152,2573.58913085449,2598.32294427701,2623.28889573785,2648.48716740446,2673.91788508807,2699.58111674677,2725.47687150809,2751.60509894779,2777.9656886938,2804.55847001012,2831.38321156507,2858.43962129263,2885.72734604815,2913.24597079186,2940.99501697675,2968.97394068242,2997.18213142234,3025.61891116512,3054.28353353993,3083.17518316289,3112.2929750347
1,Illinois,6681.92679458802,6714.62840470387,6745.29670438416,6774.0125390382,6801.00885133784,6826.26916200099,6849.68409478353,6872.33595748216,6894.12283945723,6915.19261241647,6935.56447213677,6955.56954423508,6975.25206153409,6994.79815198268,7013.11369198216,7030.70994075932,7047.68301997531,7063.84210982515,7079.05418838826,7093.1769123333,7106.0950903531,7119.00952496837,7131.43169492469,7143.3805803801,7154.86864453101,7165.90800931741,7176.4947207156,7186.62239944003,7196.27497179274,7205.49059322769,7214.28360220185,7222.66420928658,7230.65273491636,7238.27720472352,7245.57420390694,7252.5879388996,7259.30441205564,7265.73349713118,7271.88460414278,7277.7669843904,7283.38973967535,7288.76262331735,7293.89619474171,7298.80234733244,7303.49165043446,7307.97448012091,7312.26121725559,7316.36173978252,7320.28501050812,7324.03860131366,7327.62824071565,7331.0606466123,7334.34237639711,7337.47984234182,7340.47931241178,7343.3469106586,7346.08857738654,7348.71001955688,7351.2166321886,7353.613549303,7355.90564062446,7358.09749816004,7360.19344760195,7362.19758099876,7364.11381495343,7365.94597445419,7367.69773863306,7369.37264155244,7370.97407225527,7372.50527477339,7373.9693481135,7375.36924823954,7376.70779264175,7377.9876690786,7379.21144219679,7380.38156064681,7381.50036522705,7382.57009686193,7383.59290333814,7384.57084345502,7385.50588717278,7386.39991849043,7387.25473842722,7388.07206815021,7388.85355225725,7389.60076222444,7390.31519992621,7390.99830110181,7391.65143855616,7392.27592518836,7392.8730168143,7393.4439147215,7393.98976795119,7394.51167535627,7395.01068755375,7395.48780896738,7395.94399982795,7396.38017812399,7396.79722149303,7397.19596904277
2,California,5594.13563208063,5674.59786461798,5756.79597985369,5840.97088509556,5926.74240507943,6013.9047386871,6102.66469411158,6191.80017506724,6282.7303247782,6374.99056133514,6468.39666532038,6562.75167580644,6657.93140844997,6754.7126095587,6853.25119066668,6953.68050274175,7055.29353001509,7157.71615393256,7260.72653756715,7364.10726712813,7468.39990188514,7576.52785458328,7686.05357483417,7796.98044626768,7909.32773308934,8023.13296311927,8138.44724249475,8255.25994257205,8373.54638290045,8493.26848165457,8614.44486271113,8737.12732875351,8861.39069664154,8987.33430897351,9115.01987592876,9244.26713710783,9375.0867647786,9507.48997417065,9641.48722898606,9777.08664246442,9914.29264558499,10053.1108875199,10193.5495077927,10335.6204658124,10479.3350847335,10624.7012126708,10771.721009217,10920.3884281148,11070.6917091789,11222.6331857668,11376.2144394654,11531.436194552,11688.2983122461,11846.7999179348,12006.9396493637,12168.7155155734,12332.1246395112,12497.1628695771,12663.8247314585,12832.1036124014,13001.9921440971,13173.4828248451,13346.5684839305,13521.2411404872,13697.4920025833,13875.3114750463,14054.6891684592,14235.6138984491,14418.0736645713,14602.055639358,14787.5461778326,14974.5308598549,15162.9945398091,15352.9213850816,15544.2948861515,15737.0978164938,15931.3121514171,16126.9190742133,16323.898982949,16522.2314972304,16721.8954648457,16922.8689690632,17125.1293382937,17328.6531574558,17533.4162795051,17739.3938344642,17946.5602351691,18154.8891803907,18364.3536574324,18574.925948225,18786.577642495,18999.2796514706,19213.0022221112,19427.7149518927,19643.386804194,19859.9861242706,20077.480655661,20295.8375569152,20515.0234186503,20735.0042811506
3,Arizona,1388.60974330342,1429.81759070222,1471.86925230543,1515.5056846003,1562.12880011471,1612.01479085851,1662.54078515996,1714.14488067348,1768.94899392347,1828.26360835979,1893.31539744242,1964.04721799598,2043.12575145663,2131.17004887327,2220.44101976793,2316.70319893986,2419.80158665659,2528.28198698174,2640.89831440972,2755.53250796709,2872.56942232551,3001.32072336552,3136.61451854173,3278.32142547662,3426.31476225058,3580.6968983467,3741.80005960113,3910.37359712329,4087.21793881907,4271.6556641081,4463.78408913648,4663.7338097614,4871.67313213001,5087.77459684089,5312.17631627714,5544.90601663241,5785.85574207296,6035.00942680214,6292.32705953929,6557.73564756231,6831.11826789091,7112.30723650115,7401.08282626699,7697.18435514517,8000.32697767291,8310.1840080958,8626.38567362841,8948.51927079434,9276.13119417964,9608.73039719313,9945.79256168527,10286.7631061678,10631.0579997153,10978.0674306227,11327.1601064222,11677.6880153879,12028.991390817,12380.4036607355,12731.2562543992,13080.8834034772,13428.6272417552,13773.842802436,14115.9028012431,14454.2021121919,14788.1618759116,15117.233210099,15440.9005109659,15758.6843178986,16070.1436724846,16374.8779549271,16672.5281965055,16962.7778802539,17245.3532513784,17520.0231643332,17786.5984961185,18044.9311598584,18294.9127624322,18536.4729533231,18769.5775132897,18994.2262312329,19210.450616247,19418.3114898211,19617.8965008784,19809.3176036107,19992.7085342516,20168.2223187589,20336.0288390636,20496.3124812627,20649.269885008,20795.1078094277,20934.0411272144,21066.290955052,21192.0829254353,21311.6456021912,21425.2090396315,21533.003483257,21635.2582082595,21732.2004907096,21824.0547052545,21911.0415423586
4,Massachusetts,7879.34793922236,7900.57186686576,7921.07472757656,7940.68856992376,7959.18545132191,7976.39037760847,7992.55835870464,8007.72218021637,8022.74317606425,8037.53877753972,8051.50952470378,8064.41968892249,8076.08866737623,8086.91632139278,8097.55667410918,8107.84642252486,8117.73224522868,8127.06299073137,8135.81407885063,8143.97442488069,8151.65947285735,8159.11087403517,8166.16975528359,8172.82755945292,8179.10632154409,8185.04140911201,8190.67935348184,8196.04837925222,8201.14431398689,8205.9712144344,8210.53610471453,8214.85419221124,8218.9427378825,8222.82046385793,8226.50108170172,8229.98650527363,8233.28696572442,8236.4136630701,8239.37723399464,8242.18703346774,8244.85049153337,8247.3739610516,8249.76433763264,8252.02866228543,8254.1739755362,8256.20689429795,8258.1334839236,8259.95915428732,8261.6888851469,8263.3278140415,8264.88081443191,8266.35243203878,8267.74689710319,8269.0681744114,8270.32004914528,8271.50617333137,8272.63003094203,8273.69492173045,8274.70395177004,8275.6600453763,8276.56596425499,8277.42433300758,8278.23765430115,8279.00829443023,8279.73848993778,8280.43035786689,8281.0859059064,8281.7070404735,8282.29557077502,8282.85321067677,8283.38158247206,8283.88222167955,8284.35658257705,8284.80604340419,8285.23191084349,8285.63542341407,8286.01775425609,8286.38001480477,8286.72325831159,8287.04848301719,8287.35663496342,8287.6486105327,8287.92525890838,8288.18738456528,8288.43574969403,8288.67107650237,8288.89404934928,8289.10531672026,8289.30549307296,8289.49516060267,8289.67487095492,8289.84514683675,8290.00648352895,8290.15935031259,8290.3041918237,8290.44142934668,8290.57146204739,8290.69466814114,8290.81140599565,8290.92201517213
5,Wisconsin,750.665389956466,757.386208233754,764.148620205055,770.676343408106,776.926162311495,782.717982693676,788.154559282047,793.669394783495,799.039468900071,804.239849463663,809.244235960437,814.057567205845,818.690787463723,823.17867910842,827.547512755301,831.772717997731,835.854500865188,839.796201392937,843.604852766077,847.28774328977,850.851699512571,854.30005727381,857.633290260724,860.85499215978,863.96917576469,866.979934557836,869.890992728286,872.705627744367,875.426672603782,878.056895583941,880.599348741559,883.057014686894,885.432745880994,887.729238535797,889.9490592863,892.094684796631,894.168545987311,896.173030478887,898.110441967607,899.982998513317,901.792838162817,903.542028512731,905.232574135631,906.866419996388,908.445449787601,909.97148375154,911.446281281324,912.871544054584,914.248918853681,915.579999544016,916.866328371973,918.109396996841,919.310647855611,920.471475965835,921.593230626911,922.677216941123,923.724697171196,924.736892018843,925.714981899189,926.660108243706,927.573374793942,928.455848830526,929.30856234215,930.132513149547,930.928665999277,931.697953633465,932.441277833078,933.15951042798,933.853494270845,934.524044178534,935.171947844419,935.79796672367,936.402836891956,936.98726987729,937.551953465007,938.097552476706,938.624709524447,939.134045741209,939.626161488301,940.10163704024,940.561033247658,941.004892178827,941.433737740555,941.848076279112,942.248397161816,942.63517333985,943.008861892846,943.369904555804,943.718728228885,944.055745470627,944.3813549751,944.695942033504,944.999878980689,945.293525627061,945.577229676345,945.851327129654,946.116142676279,946.371990071649,946.619172502849,946.857982942095
6,Texas,2222.64977881804,2254.01120814029,2286.80382255519,2321.24491640944,2357.56388019084,2395.12002614106,2434.28873173962,2474.60895811276,2517.42133465774,2563.09047326916,2612.15412281815,2664.652162622,2721.00800264302,2781.23326718303,2841.9807367844,2903.66501515301,2964.40069524552,3022.6234177308,3077.46990789223,3128.55489374061,3175.6546796995,3222.91271901409,3268.53534908687,3312.21591637597,3353.8375276825,3393.4568716127,3431.24064803433,3467.42129768712,3502.2854400091,3535.65781422901,3567.55690640038,3598.04000006252,3627.18507528016,3655.07251885845,3681.77227837667,3707.33478957536,3731.7822130382,3755.16021674752,3777.5176403019,3798.90224630727,3819.35812952479,3838.92500051778,3857.63891520378,3875.53417089154,3892.64646955206,3909.0102862129,3924.65834853065,3939.62156056517,3953.92922572675,3967.60938107328,3980.68908406248,3993.19450739894,4005.15066859493,4016.58144049483,4027.50962480596,4037.95704325839,4047.9446129151,4057.49239053555,4066.61958800116,4075.34457820453,4083.68493370133,4091.65746860973,4099.278276661,4106.5627628582,4113.52566987677,4120.181102267,4126.54255164143,4132.62292410047,4138.43456627379,4143.9892894314,4149.29839189713,4154.37268032542,4159.22249033477,4163.85770668487,4168.2877828293,4172.52175950611,4176.56828241891,4180.43561913185,4184.13167528863,4187.66401021202,4191.03985188846,4194.26611132017,4197.34939624552,4200.2960242678,4203.11203543159,4205.80320427528,4208.37505137897,4210.83285442206,4213.18165876636,4215.42628758399,4217.57135155188,4219.62125813215,4221.5802204554,4223.45226582254,4225.24124383999,4226.95083420377,4228.58455414716,4230.14576556651,4231.63768183891,4233.06337434431
7,Nebraska,246.544371134738,248.975564845883,251.300417838862,253.542036401734,255.703150536162,257.797401270413,259.848277755397,261.836610707782,263.825527227737,265.803125792732,267.720851144209,269.543645851912,271.265913977365,272.934002814374,274.557607190668,276.124693735224,277.59488236341,278.941155475907,280.162340314462,281.278979913376,282.31388947082,283.342772259159,284.306204164754,285.203240836342,286.037265355734,286.814991774845,287.543992192849,288.230409175009,288.878551945411,289.484899064802,290.052058150228,290.583023820818,291.080745852376,291.547759573324,291.986046914316,292.39713282706,292.782236358707,293.143094837913,293.481349381613,293.798492116668,294.095854910516,294.374637313735,294.635952741887,294.880869129627,295.110437478806,295.325633333058,295.527359099714,295.716452393929,295.893696521247,296.059829043242,296.215546222937,296.361503505909,296.498312929124,296.626546645924,296.746740579894,296.859397563365,296.964989670731,297.063959868566,297.156723358674,297.24366901423,297.3251612552,297.401541742384,297.473130856275,297.540228993699,297.603117750449,297.662061052227,297.717306261891,297.769085250287,297.817615378719,297.863100403275,297.905731316034,297.945687136216,297.983135658299,298.018234158074,298.051130054661,298.081961527676,298.110858094314,298.137941150541,298.163324479382,298.187114728189,298.209411856216,298.230309553871,298.249895635355,298.268252406713,298.285457010978,298.301581751839,298.316694397095,298.33085846307,298.344133481171,298.356575247718,298.368236058151,298.379164926579,298.389407791587,298.399007709144,298.408005033412,298.416437586219,298.424340815909,298.431747946237,298.438690115937,298.44519650953
8,Utah,161.018543499907,164.080406943869,167.186825214726,170.332596347028,173.533566549515,176.795313318872,180.104974890149,183.318194700952,186.451643048077,189.476906248418,192.326760284888,194.913171312896,197.149347961709,199.043734556006,200.807974799555,202.43670484809,203.924836402566,205.269456304851,206.473640671905,207.548940129325,208.5160404791,209.396739596794,210.19514763483,210.916250197218,211.565963754657,212.151019692994,212.678483297811,213.154997596019,213.585896137545,213.974979332867,214.326016567275,214.642662259565,214.928359000143,215.186242478796,215.419082259056,215.629287253811,215.818994051911,215.990184150514,216.144672544365,216.284103037223,216.409952097879,216.523541887029,216.626059978363,216.718580389862,216.802078358046,216.87743559411,216.945447082141,217.006828939133,217.062226642797,217.112222810714,217.157343868425,217.1980653823,217.234816514464,217.267984401998,217.297918310532,217.324933442904,217.349314336934,217.37131785596,217.391175837566,217.409097492811,217.425271614337,217.439868582726,217.453042173361,217.464931177328,217.475660857275,217.485344260726,217.494083409363,217.501970375954,217.509088256221,217.515512044669,217.52130942396,217.526541477088,217.531263330503,217.535524735029,217.539370590295,217.54284141788,217.545973788163,217.548800705502,217.551351955887,217.553654420757,217.555732360262,217.557607668885,217.559300106122,217.560827504653,217.562205958221,217.563449991198,217.56457271162,217.565585949303,217.566500380486,217.567325640318,217.56807042438,217.568742580302,217.569349190453,217.569896646564,217.570390717074,217.570836607913,217.571239017353,217.571602185511,217.571929939028,217.572225731389
9,Oregon,192.514776557885,195.077469199677,197.748022059778,200.497231237503,203.355950812389,206.289539344593,209.312387631472,212.507708722908,215.864127507782,219.309988493921,222.878621585664,226.504451146773,230.259273050316,234.122006220556,237.911334483978,241.617829446159,245.326722868492,249.051070420455,252.819408257112,256.60061240302,260.374616198602,264.301911951213,268.248305074138,272.203468025746,276.176913958357,280.180370633675,284.21702664155,288.288919962745,292.395010190382,296.537748062947,300.722194556712,304.935379875947,309.1783989696,313.453669052753,317.762785277408,322.106167219036,326.483912652086,330.895894151873,335.342089878326,339.822191517514,344.335269288186,348.881787100367,353.462135364448,358.076469755166,362.724779095632,367.407002141943,372.123059094586,376.872875518113,381.656370762629,386.473490342886,391.324280691818,396.208739834268,401.126820330131,406.078451139112,411.06355417913,416.082049306295,421.133856224212,426.218893851786,431.337080952967,436.488333108274,441.672550733389,446.889622925752,452.13943141053,457.421852422196,462.736756894687,468.084010099825,473.463471025105,478.874991753714,484.318416702091,489.793582119152,495.300316904867,500.838443080402,506.407775859009,512.008123509114,517.639287180182,523.301060750529,528.993230729449,534.715576219546,540.467868962349,546.249873446643,552.061346935508,557.902039442783,563.771693698904,569.670045128724,575.596821846897,581.551744670319,587.534527143306,593.544875570066,599.582489045762,605.647059478844,611.738271612936,617.855803053994,623.99932430453,630.168498804329,636.362982976369,642.582426276578,648.826471246399,655.094753567641,661.386902120015,667.70253904265
