id,Country,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05
0,Washington,1279.07418343298,1288.28896309207,1297.5042066317,1306.8464764441,1316.29041576524,1326.07839310987,1336.12627226395,1346.049841188,1356.54186740236,1367.93746792141,1380.27360548947,1393.60363749986,1407.87838450117,1423.36416698409,1439.94683271186,1458.3780086769,1478.96870060262,1501.96700986854,1527.70109794275,1556.21358817289,1587.87093894605,1623.7747711546,1663.36906699038,1707.09437771946,1755.40495546335,1808.81302295124,1867.89430830561,1933.3113216449,2005.78004339924,2086.13096376213,2175.2013906393,2273.89811317872,2383.21504798563,2504.23272958622,2638.16947887796,2786.35258003125,2950.12655689479,3131.08835452016,3330.97731752688,3551.68875162632,3795.28216415297,4063.98879811153,4360.21562977626,4686.55321686447,5045.77445559272,5440.84624205346,5874.93181609504,6351.38850498146,6873.76254943899,7445.77315570707,8071.29538294666,8754.350272282,9499.05763861513,10309.5948973586,11190.145835561,12144.839354371,13177.6778682382,14292.4557662034,15492.6677419308,16781.4089009723,18161.2664217016,19634.2057751648,21201.4546169933,22863.387840272,24619.4187877739,26467.9008041956,28406.0424210164,30429.8449082801,32534.0653972046,34712.2100483486,36956.5608183776,39258.2382196252,41607.300983139,43992.8819673683,46403.3577915512,48826.5480243388,51249.9379597237,53660.9174757282,56047.0273082092,58396.2032806141,60697.0089216218,62938.8474899123,65112.1451187967,67208.4985253428,69220.7827106863,71143.216325106,72971.3846858555,74702.2226281801,76333.9612558454,77866.0441161375,79299.019265636,80634.4141107316,81874.5998339625,83022.6517298138,84082.2109815706,85057.3524214917,85952.4617370632,86772.1245360077,87521.028707116,88203.8806707278
1,Illinois,6681.92679458802,6718.11756907889,6756.52695821559,6798.2191085211,6844.64166033495,6897.32297322783,6958.07986122913,7030.41614801344,7113.78528280614,7211.38526673668,7327.03181329817,7465.7906088801,7633.56417752853,7837.80589658597,8086.39340200356,8397.54663216617,8785.5709390181,9267.48648312062,9863.7847657458,10598.8834334969,11501.5005730529,12606.220216981,13943.8072060817,15555.625862429,17486.0908505678,19780.9626378408,22484.6567978303,25636.8126595815,29268.0878647715,33396.1333005292,38019.9156173041,43118.8215220585,48653.1753582921,54567.9494743354,60799.6787265795,67285.7074213196,73973.8386210868,80833.0344904988,87857.7032795581,95068.5081037913,102507.608692119,110228.595974513,118282.4038316,126701.46843501,135484.917771637,144588.031320541,153917.903593776,163336.827849271,172673.278542065,181738.801640796,190347.901327166,198337.492469853,205582.316228944,212004.422050818,217575.490872986,222312.477093639,226268.333121931,229520.299045368,232158.210820355,234274.63984138,235957.759754992,237287.017194144,238331.14805338,239147.869023656,239784.594509723,240279.66542379,240663.739652436,240961.140916959,241191.059856559,241368.572729421,241505.480770987,241610.990702445,241692.261977775,241754.84509635,241803.031600278,241840.132463364,241868.698300361,241890.692373188,241907.625529418,241920.660735821,241930.693609031,241938.414226194,241944.354472009,241948.924320491,241952.439693081,241955.143910421,241957.224257849,241958.824802691,241960.056317419,241961.00395602,241961.733181195,241962.294330142,241962.726123633,241963.058358355,241963.313970899,241963.510620212,241963.661901951,241963.778281788,241963.867813875,241963.93669469
2,California,5594.13563208063,5679.60909878676,5773.10827198654,5876.40126492594,5990.97174702907,6118.88580964808,6263.09626421863,6425.834346229,6618.30158217556,6846.67005028834,7118.76305785462,7444.12048505567,7834.46013062382,8304.88302128799,8872.98287232199,9560.27746100831,10390.6837079681,11393.0738812815,12601.8359177176,14057.4821381475,15808.1075354826,17911.6578676299,20418.7807015694,23397.1818281303,26921.7437325096,31073.6182674003,35938.7019213545,41605.3494292499,48161.1673398033,55689.4652467017,64265.1663593763,73951.0075779271,84793.689878185,96820.6201921596,110037.392911751,124425.800141542,139942.008688376,156518.991627867,174064.475583194,192461.210912526,211568.000637074,231221.697519032,251240.263151576,271426.838482766,291574.547844425,311471.820729736,330908.038926372,349679.508386529,367595.770144752,384486.205210904,400206.725819826,414646.091714546,427730.566136153,439426.814390374,449742.055133705,458721.146704016,466440.8459463,473002.016259285,478520.903224663,483120.648100047,486923.976500902,490047.612094012,492598.558596672,494672.082811194,496351.055637932,497706.254841017,498797.264645466,499673.691047775,500376.477470659,500939.189730092,501389.197488353,501748.719759683,502035.727277365,502264.708498145,502447.312418227,502592.883402772,502708.902990048,502801.352479348,502875.008675257,502933.683718696,502980.418573615,503017.638464147,503047.277274522,503070.876894309,503089.666471116,503104.625624671,503116.534889783,503126.015993949,503133.564033644,503139.573181293,503144.357216034,503148.165908019,503151.1980808,503153.612014868,503155.533726683,503157.063553548,503158.281389895,503159.250852135,503160.022592811,503160.636939274
3,Arizona,1388.60974330342,1429.81759070228,1471.86925230562,1515.50568460072,1562.12880011551,1612.01479085988,1662.54078516214,1714.14488067681,1768.94899396779,1828.2636085001,1893.31539775404,1964.04721858094,2043.12575245139,2131.17005045948,2220.44102218563,2345.5489175556,2517.34477182504,2749.13922180733,3059.10170317019,3470.13332129847,4015.50293012785,4747.05068650562,5683.92654308997,6883.24101011179,8415.22217166155,10364.6128247931,12831.3555654627,15928.1613665923,19775.978491935,24496.3562818502,30186.43906975,36904.1157196432,44645.3023996379,53323.495368076,62759.04797133,72682.8351340087,82756.028719027,92616.981665783,101919.102188439,110372.265811189,117774.103423567,124025.58851152,129128.620140793,133167.312959921,136279.184252725,138624.805396446,140363.008646737,141635.206348624,142558.474536992,143224.894849733,143704.359142288,144048.687350151,144295.655293778,144472.575131417,144599.127467018,144689.489696261,144753.885245894,144799.691284862,144832.226848228,144855.316865912,144871.700525223,144883.330354275,144891.59232749,144897.467336867,144901.648632605,144904.62626016,144906.747060577,144908.25717066,144909.331768826,144910.095840943,144910.638695168,144911.024158279,144911.297795882,144911.492071234,144911.630058116,144911.728122426,144911.797856773,144911.84746963,144911.882776525,144911.907902833,144911.925779751,144911.938493563,144911.947531104,144911.953952651,144911.958514172,144911.961754207,144911.96405591,144911.965691505,144911.966854189,144911.967680984,144911.968269071,144911.968687413,144911.968984987,144911.969196619,144911.969347087,144911.969454039,144911.969530044,144911.969584048,144911.969622421,144911.969649691
4,Massachusetts,7879.34793922236,7900.57186686601,7921.07472757741,7940.6885699257,7959.18545132561,7976.39037761486,7992.558358715,8007.72218023251,8028.63038411656,8057.51643178043,8097.05580647241,8151.37239201154,8226.32061207931,8330.67420020169,8477.00614345554,8678.2865704197,8955.98531589541,9339.62318602593,9869.99249200262,10602.8353223031,11613.7020323215,13003.4520838748,14901.6895569624,17474.6980551129,20926.8803771131,25496.5411274438,31439.9185598973,38998.5578140346,48348.189941713,59536.4165184317,72430.3154870888,86697.2025009881,101838.614877171,117267.98838683,132401.895053635,146736.518876111,159898.138732669,171666.834065632,181969.542740502,190843.624165045,198383.164675388,204691.946623807,209862.174239694,213980.294075314,217145.747155721,219484.480396904,221146.241405471,222287.423179985,223050.698628215,223551.951852706,223877.329714941,224087.085229675,224221.774863936,224308.092069907,224363.373483421,224398.781628898,224421.46412754,224435.988212633,224445.276249971,224451.204382292,224454.980459976,224457.3822004,224458.908909084,224459.879677458,224460.497543967,224460.891334172,224461.142689524,224461.303356815,224461.406168461,224461.47199364,224461.514131702,224461.541084416,224461.558302764,224461.569288294,224461.576290562,224461.580752317,224461.583596196,224461.585410434,224461.586569212,224461.587310289,224461.587784765,224461.588088783,224461.588283636,224461.588408492,224461.588488443,224461.588539591,224461.588572283,224461.588593165,224461.588606502,224461.588615022,224461.58862047,224461.588623956,224461.588626189,224461.588627621,224461.58862854,224461.588629129,224461.588629507,224461.58862975,224461.588629905,224461.588630004
5,Wisconsin,750.665389956466,759.548338858635,771.11351439523,785.668523100381,803.887218579932,826.453218875685,854.544338389768,889.907606318692,931.73768363968,981.493488979561,1040.95604463869,1112.26685434494,1198.04310818691,1301.4308408134,1426.25947520952,1577.2340195619,1759.50289339823,1979.15617521872,2243.42236413992,2560.7702259553,2941.08396702729,3395.72882475997,3937.56138270838,4581.56432072594,5344.45478429684,6244.52393856199,7301.29388774035,8534.92058248623,9965.29911466151,11610.8138118474,13486.7218501964,15603.3246622691,17963.8986643814,20562.6505489132,23383.0188043926,26396.6607522177,29563.4781343998,32832.9154821281,36146.4595664891,39441.3060568501,42654.7173482655,45728.4989483448,48612.9800899011,51269.9675532082,53674.3333406504,55814.1478139617,57689.5178246204,59310.4865918958,60694.4409410449,61863.454999878,62841.9039687159,63654.5456547936,64325.1370590657,64875.5584953409,65325.35410099,65691.5810887781,65988.8653619921,66229.5794464829,66424.0808777784,66580.9696717568,66707.3398265965,66809.0114847998,66890.7379151799,66956.3859313563,67009.0907383489,67051.3872837837,67085.3205967429,67112.5376659584,67134.3632936724,67151.8622521844,67165.8898841873,67177.1330769278,67186.1433123334,67193.3632606687,67199.1481553631,67203.7829717533,67207.4962403021,67210.4711605414,67212.8545464855,67214.7640256794,67216.2938289402,67217.519441578,67218.5013350856,67219.2879575498,67219.9181278797,67220.4229517745,67220.8273549041,67221.1513101893,67221.410820775,67221.6187078206,67221.7852421812,67221.9186510515,67222.0255243144,67222.1111403598,67222.1797272184,67222.2346717514,67222.2786871593,67222.3139470828,67222.3421929536,67222.3648199408
6,Texas,2222.64977881804,2254.01120814029,2286.80382255521,2321.24491640947,2357.56388019089,2395.12002614115,2434.28873173975,2474.60895811296,2520.21762987052,2572.34208358694,2632.59144074311,2702.35160617205,2783.72397285868,2878.83896138892,2987.00163672504,3124.51399334171,3297.4234482847,3513.94413473596,3785.3593083079,4126.34074138812,4555.44543411481,5100.09157106933,5771.58553778208,6599.14192261585,7618.00491717974,8870.31195722595,10406.0778068274,12283.8440093896,14571.2358962737,17345.8322241474,20690.7672433382,24695.5108717623,29453.2322455113,35057.0038455024,41594.9890366283,49144.6243639455,57764.6983905922,67492.4713159498,78332.4353993018,90246.9352041622,103147.068962466,116885.713446164,131255.206690566,145992.051879992,160789.941197572,175321.031534578,189262.284505213,202323.185806386,214270.255559243,224944.213645398,234267.105668212,242238.906435097,248924.681868154,254436.574766206,258914.293426192,262507.55098181,265362.571207007,267613.302087717,269376.869762474,270752.239966661,271820.95284042,272648.977029353,273288.997590932,273782.713353549,274162.920931407,274455.297120234,274679.869374727,274852.208181079,274984.380988645,275085.711763124,275163.384297855,275222.920119353,275268.555438298,275303.536706054,275330.350742695,275350.902673667,275366.652656146,275378.720448964,275387.965175568,275395.046132606,275400.469212762,275404.622446603,275407.803283766,275410.239588402,275412.105820089,275413.535503276,275414.630823119,275415.469993462,275416.112900393,275416.605415992,275416.98269124,275417.271668813,275417.493001718,275417.662520211,275417.792355216,275417.891800041,275417.967972025,275418.026320824,275418.071018736,275418.105260206
7,Nebraska,246.544371134738,248.975564845883,251.300417838862,253.542036401734,255.703150536162,257.797401270413,259.848277755397,261.836610707782,263.969029346733,266.254439889227,268.669200610896,271.20314217518,273.875418883559,276.758758265556,279.896511080578,283.344710224042,287.109167535162,291.211274446757,295.700848131139,300.654886041208,306.161527413214,312.373415701531,319.147862889516,326.539896048001,334.61048092039,343.431638303138,353.086037764269,363.664393034731,375.259243789167,387.969032388818,401.897098988906,417.158896504931,433.881320597661,452.200195153151,472.257560384862,494.200716808114,518.173977262978,544.357361574867,572.944351112991,604.142293741956,638.17208480867,675.267757906723,715.676254947957,759.657862818227,807.48602322531,859.447074456805,915.838847910521,976.969003813787,1043.15331288609,1114.71390077513,1191.97722231987,1275.27268737297,1364.92594069232,1461.25415246126,1564.56066613038,1675.1291018686,1793.2169626101,1919.04878137477,2052.80881357082,2194.63346190021,2344.60359681637,2502.73708644687,2668.98177610761,2843.20914906559,3025.20890418227,3214.68470857424,3411.25125941314,3614.43344858861,3823.66754422073,4038.30453342966,4257.61568637495,4480.80031588367,4706.99561997677,4935.28841400152,5164.72846754237,5394.34308371679,5623.15248667124,5850.1855404704,6074.49530524004,6295.17394350659,6511.36651834633,6722.28328537356,6927.21010176032,7125.51668791019,7316.66257410288,7500.20066662581,7675.77846842606,7843.13708174637,8002.10819889755,8152.60934948026,8294.63771539504,8428.26284841001,8553.61862904218,8670.89479206359,8780.32831627496,8882.19493823621,8976.80100484553,9064.4758347684,9145.56471262342,9220.42259665965
8,Utah,161.018543499907,164.375272172327,168.138214251079,172.382987159708,177.222097780802,182.778367284681,189.180166302767,196.453163424638,205.275293921419,215.962414577597,228.860599001698,244.372883891966,262.997079561328,285.436446773469,312.73577113903,345.13053634423,383.576383661545,429.189474897602,483.267089913116,547.30181570134,622.998712745906,712.289519488608,817.363452081342,940.535702989001,1084.29111422278,1251.24222830097,1444.06213620376,1665.38776639631,1917.67808593923,2203.02264908455,2523.17134671957,2879.27331515248,3271.72267964168,3700.01803882712,4162.64572206807,4656.99378961184,5179.30502608892,5724.67541366292,6287.12993147756,6859.76139238069,7434.95065734544,8004.66948117919,8560.85415082729,9095.82461875755,9602.71022002538,10075.8022325297,10510.8279313637,10905.0981798556,11257.5148595109,11568.4466359483,11839.5013131989,12073.2353164502,12272.8438800053,12441.8691432368,12583.9526636976,12702.6453496317,12801.2763408174,12882.8744389288,12950.1315470517,13005.3966010643,13050.690214174,13087.7311201809,13117.9682617405,13142.6143792016,13162.67855068,13178.9962808424,13192.2564965948,13203.0252706777,13211.7663604047,13218.858779153,13224.6116800011,13229.2768530386,13233.0591383375,13236.1250450857,13238.6098480464,13240.623400464,13242.2548804829,13243.5766589269,13244.6474477877,13245.5148622525,13246.2175054789,13246.7866650518,13247.2476932217,13247.6211293114,13247.9236117426,13248.1686184127,13248.3670671471,13248.5278022689,13248.657988648,13248.7634307021,13248.8488306551,13248.9179976743,13248.9740172943,13249.0193887167,13249.0561361049,13249.0858988058,13249.1100044812,13249.1295283712,13249.1453413045,13249.1581485806
9,Oregon,192.514776557885,195.817310887494,200.092955406633,205.425733269004,212.005832474999,219.932839000886,229.411163001967,240.724544239292,253.276515948709,267.559612942856,284.335833529931,304.359337083241,328.706536655512,358.409768815782,394.485479782465,439.24163277333,493.367420161497,557.855629353645,634.330338358299,724.945785989481,832.738660961032,961.701366084787,1115.3910040732,1300.41016497261,1523.13915632225,1789.70116037579,2106.33069528232,2479.39483044389,2915.82548030968,3423.36278530637,4008.78755249168,4680.76701873345,5448.28174816691,6318.75437546233,7296.65715030429,8382.11319712369,9570.15522840058,10851.6245461988,12210.6409414752,13627.002318057,15078.5175303952,16543.1817172863,18001.767418075,19440.045149266,20850.2486330816,22233.4965064066,23597.3585816467,24953.0431772503,26312.4068717256,27684.7062194444,29073.8174819224,30476.2578014965,31879.703258172,33265.1140174155,34609.1099032404,35886.6243970125,37073.8468548796,38150.9751365346,39104.4286758223,39928.1083485202,40622.9979433328,41196.4575332026,41660.925472487,42032.0197923241,42326.3603557805,42559.5894771672,42745.0675289307,42893.4230354721,43012.7345880442,43109.0576276455,43186.9803438031,43250.0569374538,43301.1014210736,43342.377272907,43375.7219169138,43402.6332742432,43424.3336225149,43441.8193269218,43455.9009850824,43467.2364974762,43476.358586318,43483.6977555187,43489.6013804491,43494.3494799152,43498.1676417111,43501.2375427582,43503.7054699561,43505.6892000215,43507.2835441264,43508.5648127582,43509.5944109511,43510.4217348158,43511.0865069301,43511.6206605099,43512.0498599385,43512.3947275162,43512.6718324242,43512.8944871479,43513.073388098,43513.2171303729
